Season,name,position,assists,bonus,bps,clean_sheets,creativity,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,match_date,team,opp_team_rating,team_rating
2021-22,Gabriel Teodoro Martinelli Silva,MID,1,0,17,0,33.1,134,3,0,8.6,21.0,90,0,0,0,0,14,0,16436,2.0,3.0,32.0,5,2705,3033,328,52,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Alexandre Lacazette,FWD,0,0,3,0,0.0,134,0,0,0.0,0.2,11,0,0,0,0,14,0,96187,2.0,3.0,0.0,1,-5515,1163,6678,83,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Anthony Martial,FWD,0,0,3,0,0.0,134,0,0,0.0,0.0,2,0,0,0,0,14,0,50595,2.0,3.0,0.0,1,-144,576,720,76,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Cristiano Ronaldo dos Santos Aveiro,FWD,0,3,53,0,2.9,134,2,2,14.9,71.0,87,0,0,0,0,14,0,2348347,2.0,3.0,75.0,13,-176787,20085,196872,123,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Edward Nketiah,FWD,0,0,6,0,0.5,134,0,0,0.4,3.2,11,0,0,0,0,14,0,11032,2.0,3.0,0.0,1,-25,512,537,54,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Martin Ødegaard,MID,0,0,26,0,54.5,134,3,1,10.7,35.4,78,0,0,0,0,14,0,107258,2.0,3.0,17.0,7,-1693,3833,5526,54,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Donny van de Beek,MID,0,0,2,0,0.0,134,0,0,0.0,0.0,1,0,0,0,0,14,0,26961,2.0,3.0,0.0,1,2450,5187,2737,57,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Mohamed Naser El Sayed Elneny,MID,1,0,19,0,16.8,134,3,0,4.7,27.4,90,0,0,0,0,14,0,30852,2.0,3.0,3.0,5,468,1373,905,44,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Pierre-Emerick Aubameyang,FWD,0,0,3,0,2.1,134,3,0,8.5,12.6,78,0,0,0,0,14,0,298113,2.0,3.0,70.0,2,-92172,3897,96069,98,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Jesse Lingard,MID,0,0,2,0,0.3,134,0,0,1.9,2.0,11,0,0,0,0,14,0,90734,2.0,3.0,17.0,1,-708,553,1261,68,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Bukayo Saka,MID,0,0,2,0,1.6,134,0,0,2.2,0.6,20,0,0,0,0,14,0,744627,2.0,3.0,20.0,1,-76391,12985,89376,63,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Emile Smith Rowe,MID,0,0,22,0,12.3,134,3,1,5.9,39.4,69,0,0,0,0,14,0,2437093,2.0,3.0,7.0,7,21930,118154,96224,60,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Scott McTominay,MID,0,0,15,0,13.3,134,2,0,3.6,22.2,90,0,0,0,0,14,0,23059,2.0,3.0,0.0,1,751,1381,630,54,1,1,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Thomas Partey,MID,0,0,14,0,5.1,134,3,0,2.2,9.0,90,0,0,0,0,14,0,29250,2.0,3.0,8.0,2,-195,1868,2063,50,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Bruno Miguel Borges Fernandes,MID,0,2,35,0,48.7,134,2,1,13.4,48.4,89,0,0,0,0,14,0,1442444,2.0,3.0,37.0,9,-46112,5948,52060,116,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Marcus Rashford,MID,1,0,16,0,25.6,134,2,0,6.8,27.2,78,0,0,0,0,14,0,66196,2.0,3.0,15.0,5,-1854,5180,7034,94,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Frederico Rodrigues de Paula Santos,MID,2,1,31,0,23.8,134,2,0,6.2,34.6,90,0,0,0,0,14,0,36682,2.0,3.0,4.0,9,1043,2398,1355,49,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Jadon Sancho,MID,0,0,13,0,28.5,134,2,0,3.8,7.2,90,0,0,0,0,14,0,195430,2.0,3.0,2.0,2,36598,38591,1993,89,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Harry Kane,FWD,0,0,14,1,37.5,140,0,0,11.2,15.6,90,0,0,0,0,14,0,952982,0.0,2.0,59.0,2,-7490,34376,41866,123,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Christian Nørgaard,MID,0,0,15,0,16.3,140,2,0,4.2,19.4,90,0,0,0,0,14,0,74945,0.0,2.0,6.0,2,-7193,617,7810,50,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Sergi Canós,MID,0,0,1,0,1.2,140,2,0,0.8,2.6,69,1,0,0,0,14,0,167898,0.0,2.0,4.0,0,-14069,3698,17767,55,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Ivan Toney,FWD,0,0,5,0,12.0,140,2,0,8.0,11.8,90,0,0,0,0,14,0,1854659,0.0,2.0,56.0,2,28665,86337,57672,67,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Pierre-Emile Højbjerg,MID,0,0,12,1,14.0,140,0,0,6.7,11.0,90,0,0,0,0,14,0,387799,0.0,2.0,42.0,3,49613,62296,12683,50,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Mathias Jensen,MID,0,0,3,0,1.2,140,0,0,0.3,1.8,20,0,0,0,0,14,0,6328,0.0,2.0,0.0,1,-384,162,546,49,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Yoane Wissa,MID,0,0,3,0,1.1,140,0,0,0.1,0.2,20,0,0,0,0,14,0,4256,0.0,2.0,0.0,1,38,152,114,59,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Heung-Min Son,MID,0,0,25,1,12.4,140,0,1,9.8,39.2,86,0,0,0,0,14,0,1787175,0.0,2.0,46.0,8,-57492,39836,97328,104,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Lucas Rodrigues Moura da Silva,MID,0,0,8,1,3.5,140,0,0,3.1,6.2,76,0,0,0,0,14,0,110371,0.0,2.0,21.0,3,8061,13412,5351,64,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Steven Bergwijn,MID,0,0,3,0,0.2,140,0,0,0.0,0.0,3,0,0,0,0,14,0,28581,0.0,2.0,0.0,1,-142,473,615,59,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Oliver Skipp,MID,0,0,20,1,27.8,140,0,0,3.9,11.4,90,0,0,0,0,14,0,78712,0.0,2.0,0.0,3,-1264,810,2074,45,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
