Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
,Gabriel Teodoro Martinelli Silva,MID,,5,17,21.0,0,8.6,0,32.0,90,33.1,1,52,0,16436
,Alexandre Lacazette,FWD,,1,3,0.2,0,0.0,0,0.0,11,0.0,0,83,0,96187
,Anthony Martial,FWD,,1,3,0.0,0,0.0,0,0.0,2,0.0,0,76,0,50595
,Cristiano Ronaldo dos Santos Aveiro,FWD,,13,53,71.0,2,14.9,3,75.0,87,2.9,0,123,0,2348347
,Edward Nketiah,FWD,,1,6,3.2,0,0.4,0,0.0,11,0.5,0,54,0,11032
,Martin Ødegaard,MID,,7,26,35.4,1,10.7,0,17.0,78,54.5,0,54,0,107258
,Donny van de Beek,MID,,1,2,0.0,0,0.0,0,0.0,1,0.0,0,57,0,26961
,Mohamed Naser El Sayed Elneny,MID,,5,19,27.4,0,4.7,0,3.0,90,16.8,1,44,0,30852
,Pierre-Emerick Aubameyang,FWD,,2,3,12.6,0,8.5,0,70.0,78,2.1,0,98,0,298113
,Jesse Lingard,MID,,1,2,2.0,0,1.9,0,17.0,11,0.3,0,68,0,90734
,Bukayo Saka,MID,,1,2,0.6,0,2.2,0,20.0,20,1.6,0,63,0,744627
,Emile Smith Rowe,MID,,7,22,39.4,1,5.9,0,7.0,69,12.3,0,60,0,2437093
,Scott McTominay,MID,,1,15,22.2,0,3.6,0,0.0,90,13.3,0,54,0,23059
,Thomas Partey,MID,,2,14,9.0,0,2.2,0,8.0,90,5.1,0,50,0,29250
,Bruno Miguel Borges Fernandes,MID,,9,35,48.4,1,13.4,2,37.0,89,48.7,0,116,0,1442444
,Marcus Rashford,MID,,5,16,27.2,0,6.8,0,15.0,78,25.6,1,94,0,66196
,Frederico Rodrigues de Paula Santos,MID,,9,31,34.6,0,6.2,1,4.0,90,23.8,2,49,0,36682
,Jadon Sancho,MID,,2,13,7.2,0,3.8,0,2.0,90,28.5,0,89,0,195430
,Harry Kane,FWD,,2,14,15.6,0,11.2,0,59.0,90,37.5,0,123,1,952982
,Christian Nørgaard,MID,,2,15,19.4,0,4.2,0,6.0,90,16.3,0,50,0,74945
,Sergi Canós,MID,,0,1,2.6,0,0.8,0,4.0,69,1.2,0,55,0,167898
,Ivan Toney,FWD,,2,5,11.8,0,8.0,0,56.0,90,12.0,0,67,0,1854659
,Pierre-Emile Højbjerg,MID,,3,12,11.0,0,6.7,0,42.0,90,14.0,0,50,1,387799
,Mathias Jensen,MID,,1,3,1.8,0,0.3,0,0.0,20,1.2,0,49,0,6328
,Yoane Wissa,MID,,1,3,0.2,0,0.1,0,0.0,20,1.1,0,59,0,4256
,Heung-Min Son,MID,,8,25,39.2,1,9.8,0,46.0,86,12.4,0,104,1,1787175
,Lucas Rodrigues Moura da Silva,MID,,3,8,6.2,0,3.1,0,21.0,76,3.5,0,64,1,110371
,Steven Bergwijn,MID,,1,3,0.0,0,0.0,0,0.0,3,0.2,0,59,0,28581
,Oliver Skipp,MID,,3,20,11.4,0,3.9,0,0.0,90,27.8,0,45,1,78712
,Shandon Baptiste,MID,,1,3,1.4,0,0.3,0,0.0,34,1.6,0,49,0,2040
,Harry Winks,MID,,1,0,0.0,0,0.0,0,0.0,13,0.3,0,44,0,108895
,Vitaly Janelt,MID,,2,11,7.6,0,2.1,0,2.0,69,11.3,0,50,0,12667
,Frank Onyeka,MID,,1,3,3.2,0,0.4,0,0.0,55,0.6,0,49,0,8964
,Bryan Mbeumo,MID,,2,5,0.0,0,0.9,0,2.0,90,10.7,0,56,0,302146
,Anthony Gordon,MID,,1,2,0.4,0,0.1,0,0.0,31,0.5,0,45,0,8427
,Fabian Delph,MID,,1,4,1.8,0,0.2,0,0.0,17,0.4,0,44,0,27946
,Allan Marques Loureiro,MID,,1,14,12.4,0,1.4,0,0.0,90,1.7,0,45,0,482307
,Fabio Henrique Tavares,MID,,2,12,14.4,0,2.6,0,0.0,90,11.8,0,54,0,61840
,Jack Grealish,MID,,1,3,0.2,0,0.6,0,4.0,3,2.1,0,76,0,764067
,Riyad Mahrez,MID,,2,16,12.2,0,9.1,0,37.0,90,42.0,0,86,0,215718
,Cenk Tosun,FWD,,1,3,0.0,0,0.0,0,0.0,5,0.1,0,50,0,2676
,Mohamed Salah,MID,,15,42,69.2,2,14.4,3,69.0,90,5.4,0,130,0,6310003
,Raheem Sterling,MID,,5,13,36.6,0,11.5,0,18.0,90,60.8,1,106,0,110287
,Carney Chukwuemeka,MID,,1,-1,5.0,0,2.7,0,21.0,23,0.8,0,45,0,3595
,James Milner,MID,,1,5,4.4,0,0.5,0,0.0,15,0.8,0,49,0,6935
,Morgan Sanson,MID,,1,4,1.4,0,0.2,0,0.0,13,0.4,0,50,0,1330
,Fernando Luiz Rosa,MID,,2,9,4.0,0,1.6,0,2.0,90,9.5,0,48,0,31086
,Diogo Jota,MID,,8,37,50.0,1,12.3,1,32.0,87,40.8,0,78,0,2120029
,Leon Bailey,MID,,1,5,2.4,0,2.1,0,18.0,30,0.2,0,64,0,54282
,Ollie Watkins,FWD,,9,31,40.6,1,8.1,3,27.0,90,13.4,0,74,0,256497
,Abdoulaye Doucouré,MID,,2,5,6.6,0,4.6,0,35.0,90,4.2,0,54,0,140159
,Thiago Alcántara do Nascimento,MID,,1,6,7.2,0,2.1,0,11.0,74,2.3,0,53,0,51657
,Gabriel Fernando de Jesus,FWD,,5,23,24.8,0,10.6,0,65.0,86,15.9,1,87,0,810500
,Richarlison de Andrade,FWD,,5,16,23.6,0,4.8,0,13.0,90,11.3,1,74,0,331869
,Alex Oxlade-Chamberlain,MID,,1,2,0.4,0,0.1,0,0.0,7,0.7,0,58,0,13479
,Sadio Mané,MID,,2,5,7.8,0,7.5,0,53.0,90,14.0,0,120,0,428080
,Salomón Rondón,FWD,,1,8,8.2,0,0.9,0,0.0,58,0.8,0,60,0,13723
,Takumi Minamino,MID,,1,3,0.2,0,0.0,0,0.0,2,0.1,0,51,0,5539
,Emiliano Buendía Stati,MID,,2,15,4.0,0,4.8,0,28.0,90,15.8,0,62,0,88018
,John McGinn,MID,,2,15,21.8,0,5.4,0,0.0,90,32.1,0,58,0,104599
,Jordan Henderson,MID,,13,42,55.0,1,9.9,3,19.0,82,24.8,1,50,0,157293
,Andros Townsend,MID,,1,2,0.6,0,2.8,0,12.0,72,15.7,0,55,0,757271
,Demarai Gray,MID,,6,20,33.6,1,9.0,0,42.0,84,14.7,0,56,0,813585
,Marvelous Nakamba,MID,,2,9,13.6,0,1.5,0,0.0,76,0.9,0,45,0,18277
,Rodrigo Hernandez,MID,,2,12,15.2,0,4.5,0,23.0,90,6.4,0,55,0,102029
,Bernardo Mota Veiga de Carvalho e Silva,MID,,10,31,39.8,1,8.7,3,27.0,90,19.8,0,73,0,1117185
,Douglas Luiz Soares de Paulo,MID,,5,26,39.6,0,10.6,0,0.0,90,66.6,1,45,0,192530
,Saïd Benrahma,MID,,3,10,9.8,0,2.5,0,3.0,75,12.4,0,62,1,2145518
,Patson Daka,FWD,,1,2,0.0,0,0.0,0,0.0,15,0.3,0,71,0,73607
