Season,name,position,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,GW,match_date,team,opp_team_rating,team_rating
2021-22,Alex Nicolao Telles,DEF,0,0,12,0,26.3,2,0,4.4,13.8,90,0,0,0,0,0,9011,2.0,3.0,4.0,1,2676,388,5.0,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Takehiro Tomiyasu,DEF,0,0,11,0,18.4,3,0,3.2,13.2,90,0,0,0,0,0,329334,2.0,3.0,0.0,1,43164,8571,4.6,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Harry Maguire,DEF,0,0,14,0,1.8,2,0,3.4,24.0,90,0,0,0,0,0,401476,2.0,3.0,8.0,1,1771,6884,5.4,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Victor Lindelöf,DEF,0,0,16,0,1.0,2,0,3.6,18.0,90,0,0,0,0,0,41053,2.0,3.0,17.0,1,1799,951,4.8,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,José Diogo Dalot Teixeira,DEF,0,0,18,0,3.0,2,0,3.1,18.8,90,0,0,0,0,0,6419,2.0,3.0,9.0,1,90,136,4.4,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Ben White,DEF,0,0,15,0,14.6,3,0,5.3,20.8,90,0,0,0,0,0,1025891,2.0,3.0,18.0,1,24071,25056,4.4,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Gabriel Magalhães,DEF,0,0,16,0,0.8,3,0,3.5,15.2,90,0,0,0,0,0,238788,2.0,3.0,19.0,1,33875,16814,5.1,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Nuno Varela Tavares,DEF,0,0,17,0,22.8,3,0,4.9,18.4,90,0,0,0,0,0,54872,2.0,3.0,8.0,1,22528,1684,4.3,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Sergio Reguilón,DEF,1,3,35,1,26.8,0,0,6.3,29.8,90,0,0,0,0,0,1198859,0.0,2.0,6.0,12,115811,22903,5.1,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Eric Dier,DEF,0,0,25,1,0.3,0,0,1.3,12.6,90,0,0,0,0,0,450337,0.0,2.0,0.0,6,27636,10517,4.5,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Charlie Goode,DEF,0,0,13,0,5.2,2,0,2.1,14.0,90,0,0,0,0,0,161059,0.0,2.0,2.0,1,5962,2877,3.9,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Pontus Jansson,DEF,0,0,15,0,10.8,2,0,4.0,16.8,90,0,0,0,0,0,720574,0.0,2.0,12.0,1,2542,35102,4.7,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Japhet Tanganga,DEF,0,0,3,0,0.0,0,0,1.8,0.4,7,0,0,0,0,0,102438,0.0,2.0,18.0,1,687,3284,4.3,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
