,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
0,2,17,34.4,0,3.4,0,0.0,90,0.0,0,50,0,473518
1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,102
2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,0
3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,0,42318
4,1,12,13.8,0,4.4,0,4.0,90,26.3,0,50,0,9011
5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,47,0,36124
6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,24703
7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,0,1315061
8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,214
9,5,17,21.0,0,8.6,0,32.0,90,33.1,1,52,0,16436
10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,47,0,323534
11,1,3,0.2,0,0.0,0,0.0,11,0.0,0,83,0,96187
12,1,3,0.0,0,0.0,0,0.0,2,0.0,0,76,0,50595
13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,73,0,531047
14,13,53,71.0,2,14.9,3,75.0,87,2.9,0,123,0,2348347
15,1,11,13.2,0,3.2,0,0.0,90,18.4,0,46,0,329334
16,1,6,3.2,0,0.4,0,0.0,11,0.5,0,54,0,11032
17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,42,0,16710
18,1,14,24.0,0,3.4,0,8.0,90,1.8,0,54,0,401476
19,7,26,35.4,1,10.7,0,17.0,78,54.5,0,54,0,107258
20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,55,0,167550
21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,5170
22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,46,0,83324
23,1,2,0.0,0,0.0,0,0.0,1,0.0,0,57,0,26961
24,3,23,47.4,0,4.7,0,0.0,90,0.0,0,49,0,1125402
25,5,19,27.4,0,4.7,0,3.0,90,16.8,1,44,0,30852
26,2,3,12.6,0,8.5,0,70.0,78,2.1,0,98,0,298113
