Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
2021-22,Gabriel Teodoro Martinelli Silva,MID,Arsenal,5,17,21.0,0,8.6,0,32.0,90,33.1,1,52,0,16436
2021-22,Alexandre Lacazette,FWD,Arsenal,1,3,0.2,0,0.0,0,0.0,11,0.0,0,83,0,96187
2021-22,Anthony Martial,FWD,Man Utd,1,3,0.0,0,0.0,0,0.0,2,0.0,0,76,0,50595
2021-22,Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,13,53,71.0,2,14.9,3,75.0,87,2.9,0,123,0,2348347
2021-22,Edward Nketiah,FWD,Arsenal,1,6,3.2,0,0.4,0,0.0,11,0.5,0,54,0,11032
2021-22,Martin Ødegaard,MID,Arsenal,7,26,35.4,1,10.7,0,17.0,78,54.5,0,54,0,107258
2021-22,Donny van de Beek,MID,Man Utd,1,2,0.0,0,0.0,0,0.0,1,0.0,0,57,0,26961
2021-22,Mohamed Naser El Sayed Elneny,MID,Arsenal,5,19,27.4,0,4.7,0,3.0,90,16.8,1,44,0,30852
2021-22,Pierre-Emerick Aubameyang,FWD,Arsenal,2,3,12.6,0,8.5,0,70.0,78,2.1,0,98,0,298113
2021-22,Jesse Lingard,MID,Man Utd,1,2,2.0,0,1.9,0,17.0,11,0.3,0,68,0,90734
2021-22,Bukayo Saka,MID,Arsenal,1,2,0.6,0,2.2,0,20.0,20,1.6,0,63,0,744627
2021-22,Emile Smith Rowe,MID,Arsenal,7,22,39.4,1,5.9,0,7.0,69,12.3,0,60,0,2437093
2021-22,Scott McTominay,MID,Man Utd,1,15,22.2,0,3.6,0,0.0,90,13.3,0,54,0,23059
2021-22,Thomas Partey,MID,Arsenal,2,14,9.0,0,2.2,0,8.0,90,5.1,0,50,0,29250
2021-22,Bruno Miguel Borges Fernandes,MID,Man Utd,9,35,48.4,1,13.4,2,37.0,89,48.7,0,116,0,1442444
2021-22,Marcus Rashford,MID,Man Utd,5,16,27.2,0,6.8,0,15.0,78,25.6,1,94,0,66196
2021-22,Frederico Rodrigues de Paula Santos,MID,Man Utd,9,31,34.6,0,6.2,1,4.0,90,23.8,2,49,0,36682
2021-22,Jadon Sancho,MID,Man Utd,2,13,7.2,0,3.8,0,2.0,90,28.5,0,89,0,195430
2021-22,Harry Kane,FWD,Spurs,2,14,15.6,0,11.2,0,59.0,90,37.5,0,123,1,952982
2021-22,Christian Nørgaard,MID,Brentford,2,15,19.4,0,4.2,0,6.0,90,16.3,0,50,0,74945
2021-22,Sergi Canós,MID,Brentford,0,1,2.6,0,0.8,0,4.0,69,1.2,0,55,0,167898
2021-22,Ivan Toney,FWD,Brentford,2,5,11.8,0,8.0,0,56.0,90,12.0,0,67,0,1854659
2021-22,Pierre-Emile Højbjerg,MID,Spurs,3,12,11.0,0,6.7,0,42.0,90,14.0,0,50,1,387799
2021-22,Mathias Jensen,MID,Brentford,1,3,1.8,0,0.3,0,0.0,20,1.2,0,49,0,6328
2021-22,Yoane Wissa,MID,Brentford,1,3,0.2,0,0.1,0,0.0,20,1.1,0,59,0,4256
2021-22,Heung-Min Son,MID,Spurs,8,25,39.2,1,9.8,0,46.0,86,12.4,0,104,1,1787175
2021-22,Lucas Rodrigues Moura da Silva,MID,Spurs,3,8,6.2,0,3.1,0,21.0,76,3.5,0,64,1,110371
2021-22,Steven Bergwijn,MID,Spurs,1,3,0.0,0,0.0,0,0.0,3,0.2,0,59,0,28581
2021-22,Oliver Skipp,MID,Spurs,3,20,11.4,0,3.9,0,0.0,90,27.8,0,45,1,78712
2021-22,Shandon Baptiste,MID,Brentford,1,3,1.4,0,0.3,0,0.0,34,1.6,0,49,0,2040
2021-22,Harry Winks,MID,Spurs,1,0,0.0,0,0.0,0,0.0,13,0.3,0,44,0,108895
2021-22,Vitaly Janelt,MID,Brentford,2,11,7.6,0,2.1,0,2.0,69,11.3,0,50,0,12667
2021-22,Frank Onyeka,MID,Brentford,1,3,3.2,0,0.4,0,0.0,55,0.6,0,49,0,8964
2021-22,Bryan Mbeumo,MID,Brentford,2,5,0.0,0,0.9,0,2.0,90,10.7,0,56,0,302146
2021-22,Anthony Gordon,MID,Everton,1,2,0.4,0,0.1,0,0.0,31,0.5,0,45,0,8427
2021-22,Fabian Delph,MID,Everton,1,4,1.8,0,0.2,0,0.0,17,0.4,0,44,0,27946
2021-22,Allan Marques Loureiro,MID,Everton,1,14,12.4,0,1.4,0,0.0,90,1.7,0,45,0,482307
2021-22,Fabio Henrique Tavares,MID,Liverpool,2,12,14.4,0,2.6,0,0.0,90,11.8,0,54,0,61840
2021-22,Jack Grealish,MID,Man City,1,3,0.2,0,0.6,0,4.0,3,2.1,0,76,0,764067
2021-22,Riyad Mahrez,MID,Man City,2,16,12.2,0,9.1,0,37.0,90,42.0,0,86,0,215718
2021-22,Cenk Tosun,FWD,Everton,1,3,0.0,0,0.0,0,0.0,5,0.1,0,50,0,2676
2021-22,Mohamed Salah,MID,Liverpool,15,42,69.2,2,14.4,3,69.0,90,5.4,0,130,0,6310003
2021-22,Raheem Sterling,MID,Man City,5,13,36.6,0,11.5,0,18.0,90,60.8,1,106,0,110287
2021-22,Carney Chukwuemeka,MID,Aston Villa,1,-1,5.0,0,2.7,0,21.0,23,0.8,0,45,0,3595
2021-22,James Milner,MID,Liverpool,1,5,4.4,0,0.5,0,0.0,15,0.8,0,49,0,6935
2021-22,Morgan Sanson,MID,Aston Villa,1,4,1.4,0,0.2,0,0.0,13,0.4,0,50,0,1330
2021-22,Fernando Luiz Rosa,MID,Man City,2,9,4.0,0,1.6,0,2.0,90,9.5,0,48,0,31086
2021-22,Diogo Jota,MID,Liverpool,8,37,50.0,1,12.3,1,32.0,87,40.8,0,78,0,2120029
2021-22,Leon Bailey,MID,Aston Villa,1,5,2.4,0,2.1,0,18.0,30,0.2,0,64,0,54282
2021-22,Ollie Watkins,FWD,Aston Villa,9,31,40.6,1,8.1,3,27.0,90,13.4,0,74,0,256497
2021-22,Abdoulaye Doucouré,MID,Everton,2,5,6.6,0,4.6,0,35.0,90,4.2,0,54,0,140159
