Season,name,position,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,GW,match_date,team,opp_team_rating,team_rating
2021-22,David de Gea,GK,0,0,17,0,0.0,2,0,3.4,34.4,90,0,0,0,0,5,473518,2.0,3.0,0.0,2,19470,8226,50,1,0,14,2021-12-02 20:15:00,Man Utd,2,1.0
2021-22,Aaron Ramsdale,GK,0,0,23,0,0.0,3,0,4.7,47.4,90,0,0,0,0,7,1125402,2.0,3.0,0.0,3,74772,22609,49,0,0,14,2021-12-02 20:15:00,Arsenal,1,2.0
2021-22,Hugo Lloris,GK,0,1,26,1,0.0,0,0,2.0,20.4,90,0,0,0,0,2,743921,0.0,2.0,0.0,7,13230,16008,54,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Álvaro Fernández,GK,0,0,20,0,0.0,2,0,3.9,38.8,90,0,0,0,0,5,50139,0.0,2.0,0.0,2,5442,2682,45,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Jordan Pickford,GK,0,0,15,0,0.0,4,0,1.9,18.8,90,0,0,0,0,3,384835,4.0,1.0,0.0,1,878,10976,50,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Emiliano Martínez,GK,0,0,18,0,0.0,2,0,3.1,30.8,90,0,0,0,0,5,1207781,2.0,1.0,0.0,2,4040,36951,55,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Ederson Santana de Moraes,GK,0,0,10,0,0.0,1,0,1.9,19.4,90,0,0,0,0,2,795226,2.0,1.0,0.0,2,13080,11113,60,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Alisson Ramses Becker,GK,0,0,14,0,0.0,1,0,1.4,13.6,90,0,0,0,0,1,676804,4.0,1.0,0.0,2,11180,18554,60,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Lukasz Fabianski,GK,0,0,10,0,0.0,1,0,1.8,18.0,90,0,0,0,0,2,195307,1.0,1.0,0.0,2,5504,3651,50,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Robert Sánchez,GK,0,1,23,0,0.0,1,0,2.9,29.2,90,0,0,0,0,4,1652925,1.0,1.0,0.0,4,16178,12335,46,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Edouard Mendy,GK,0,0,20,0,0.0,1,0,4.3,43.0,90,0,0,0,0,6,1764727,2.0,1.0,0.0,4,41444,18253,63,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Alex McCarthy,GK,0,0,17,0,10.0,2,0,4.2,31.6,90,0,0,0,0,4,431841,2.0,2.0,0.0,2,9251,21097,46,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Daniel Bachmann,GK,0,0,13,0,0.0,2,0,1.9,18.8,90,0,0,0,0,2,93486,2.0,1.0,0.0,1,7428,2262,42,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Kasper Schmeichel,GK,0,0,19,0,0.0,2,0,3.9,38.6,90,0,0,0,0,5,1261556,2.0,2.0,0.0,2,9090,28018,49,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Nick Pope,GK,0,0,24,1,0.0,0,0,1.4,13.8,90,0,0,0,0,2,213694,0.0,0.0,0.0,6,905,3876,54,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,José Malheiro de Sá,GK,0,0,25,1,0.0,0,0,1.3,13.4,90,0,0,0,0,1,266044,0.0,0.0,0.0,6,39871,7491,50,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Illan Meslier,GK,0,2,26,1,0.0,0,0,1.4,14.0,90,0,0,0,0,1,225468,0.0,1.0,0.0,8,5415,3858,49,1,0,14,2021-11-30 20:15:00,Leeds,3,3.0
2021-22,Vicente Guaita,GK,0,0,12,0,0.0,1,0,1.6,16.2,90,0,0,0,0,2,717107,0.0,1.0,0.0,2,12287,15494,46,0,0,14,2021-11-30 20:15:00,Crystal Palace,3,3.0
2021-22,Tim Krul,GK,0,0,7,0,0.0,1,0,0.3,3.2,90,0,0,0,0,0,144668,1.0,1.0,0.0,2,8572,3317,45,0,0,14,2021-11-30 19:30:00,Norwich,4,4.0
2021-22,Martin Dubravka,GK,0,0,19,0,0.0,1,0,3.6,35.8,90,0,0,0,0,5,17005,1.0,1.0,0.0,3,7849,733,44,1,0,14,2021-11-30 19:30:00,Newcastle,4,4.0
2021-22,Edouard Mendy,GK,0,0,8,0,0.0,1,0,0.4,3.8,90,0,0,0,0,1,1730856,1.0,1.0,0.0,2,45351,35502,63,1,0,13,2021-11-28 16:30:00,Chelsea,1,1.0
2021-22,David de Gea,GK,0,0,18,0,0.0,1,0,4.1,41.0,90,0,0,0,0,5,458258,1.0,1.0,0.0,3,8321,21228,50,0,0,13,2021-11-28 16:30:00,Man Utd,1,1.0
2021-22,Lukasz Fabianski,GK,0,0,19,0,0.0,2,0,4.7,47.2,90,0,0,0,0,6,192058,1.0,2.0,0.0,3,2704,8904,50,0,0,13,2021-11-28 14:00:00,West Ham,1,1.0
2021-22,Ederson Santana de Moraes,GK,0,0,18,0,0.0,1,0,1.5,15.2,90,0,0,0,0,2,791220,1.0,2.0,0.0,2,14258,14069,60,1,0,13,2021-11-28 14:00:00,Man City,1,1.0
2021-22,Álvaro Fernández,GK,0,2,33,1,0.0,0,0,4.1,41.4,90,0,0,0,0,5,46886,0.0,1.0,0.0,9,1510,5523,45,1,0,13,2021-11-28 14:00:00,Brentford,4,3.0
2021-22,Jordan Pickford,GK,0,0,16,0,0.0,1,0,2.3,22.6,90,0,0,0,0,3,394101,0.0,1.0,0.0,3,2268,9027,50,0,0,13,2021-11-28 14:00:00,Everton,3,4.0
2021-22,Kasper Schmeichel,GK,0,0,15,0,0.0,2,0,2.4,24.0,90,0,0,0,0,3,1277883,2.0,4.0,0.0,2,6723,45603,50,1,0,13,2021-11-28 14:00:00,Leicester,4,3.0
2021-22,Daniel Bachmann,GK,0,0,17,0,0.0,4,0,3.1,30.6,90,0,0,0,0,4,87592,2.0,4.0,0.0,1,606,3376,42,0,0,13,2021-11-28 14:00:00,Watford,3,4.0
